2014-07-08T08:07:03.648+0000: 229.197: [GC [PSYoungGen: 582160K->352K(562176K)] 660460K->78716K(1249152K), 0.0056290 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:04.720+0000: 230.269: [GC [PSYoungGen: 562144K->224K(542848K)] 640508K->78636K(1229824K), 0.0055790 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:07:05.669+0000: 231.218: [GC [PSYoungGen: 542724K->324K(524608K)] 621136K->78816K(1211584K), 0.0085750 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:06.689+0000: 232.238: [GC [PSYoungGen: 524548K->448K(507136K)] 603040K->78980K(1194112K), 0.0038100 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:07:07.627+0000: 233.176: [GC [PSYoungGen: 507135K->338K(490304K)] 585668K->78926K(1177280K), 0.0060490 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T08:07:08.538+0000: 234.088: [GC [PSYoungGen: 490165K->616K(474560K)] 568753K->79292K(1161536K), 0.0046150 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:09.386+0000: 234.935: [GC [PSYoungGen: 474531K->306K(458944K)] 553208K->79310K(1145920K), 0.0070920 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:10.178+0000: 235.728: [GC [PSYoungGen: 458930K->320K(550720K)] 537934K->79364K(1237696K), 0.0213670 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-08T08:07:11.201+0000: 236.751: [GC [PSYoungGen: 550717K->658K(661184K)] 629761K->79854K(1348160K), 0.0137920 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:12.374+0000: 237.924: [GC [PSYoungGen: 661055K->708K(793344K)] 740251K->80016K(1480320K), 0.0067550 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:13.912+0000: 239.462: [GC [PSYoungGen: 793284K->256K(762944K)] 872592K->79660K(1449920K), 0.0080900 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:15.320+0000: 240.870: [GC [PSYoungGen: 762944K->402K(734656K)] 842348K->79950K(1421632K), 0.0033240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:07:16.675+0000: 242.224: [GC [PSYoungGen: 734609K->160K(707264K)] 814158K->79780K(1394240K), 0.0040800 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:07:17.907+0000: 243.457: [GC [PSYoungGen: 707228K->374K(681600K)] 786848K->80050K(1368576K), 0.0106370 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:07:19.222+0000: 244.772: [GC [PSYoungGen: 681590K->352K(656896K)] 761266K->80052K(1343872K), 0.0067910 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
